s_m,x_m,y_m
15.401830030,10.188384512,6.306989816
15.423769959,10.196023351,6.321593657
15.445709888,10.203574295,6.336177576
15.467649816,10.211033355,6.350743011
15.489589745,10.218396502,6.365291367
15.511529674,10.225658708,6.379824380
15.533469603,10.232813781,6.394344131
15.555409532,10.239855431,6.408852620
15.577349460,10.246777337,6.423351727
15.599289389,10.253573143,6.437843218
15.621229318,10.260236274,6.452328797
15.643169247,10.266761201,6.466816841
15.665109176,10.273152736,6.481347555
15.687049104,10.279404810,6.495928138
15.708989033,10.285509141,6.510559088
15.730928962,10.291457400,6.525240683
15.752868891,10.297241118,6.539973010
15.774808820,10.302851640,6.554755970
15.796748749,10.308280260,6.569589233
15.818688677,10.313518238,6.584472235
15.840628606,10.318556804,6.599404170
15.862568535,10.323387286,6.614383960
15.884508464,10.328001967,6.629410053
15.906448393,10.332393593,6.644480571
15.928388321,10.336560598,6.659617820
15.950328250,10.340501532,6.674843821
15.972268179,10.344209328,6.690155967
15.994208108,10.347677878,6.705551267
16.016148037,10.350903081,6.721026186
16.038087966,10.353881121,6.736577038
16.060027894,10.356608225,6.752200041
16.081967823,10.359080662,6.767891324
16.103907752,10.361294937,6.783646889
16.125847681,10.363249848,6.799462311
16.147787610,10.364945703,6.815332932
16.169727538,10.366382894,6.831254119
16.191667467,10.367562417,6.847225239
16.213607396,10.368488122,6.863265800
16.235547325,10.369162153,6.879375751
16.257487254,10.369588461,6.895550905
16.279427183,10.369771469,6.911787161
16.301367111,10.369715664,6.928080554
16.323307040,10.369425593,6.944427255
16.345246969,10.368905918,6.960823566
16.367186898,10.368162425,6.977265841
16.389126827,10.367201878,6.993750534
16.411066755,10.366031124,7.010274280
16.433006684,10.364657055,7.026833895
16.454946613,10.363086604,7.043426372
16.476886542,10.361327242,7.060057547
16.498826471,10.359386819,7.076733979
16.520766400,10.357272891,7.093454012
16.542706328,10.354993036,7.110216158
16.564646257,10.352554857,7.127019100
16.586586186,10.349965960,7.143861680
16.608526115,10.347233515,7.160742901
16.630466044,10.344364177,7.177661909
16.652405972,10.341364583,7.194617974
16.674345901,10.338241385,7.211610489
16.696285830,10.335001242,7.228638965
16.718225759,10.331650622,7.245703023
16.740165688,10.328194843,7.262804208
16.762105617,10.324638650,7.279953678
16.784045545,10.320987089,7.297153891
16.805985474,10.317245259,7.314405542
16.827925403,10.313418255,7.331709384
16.849865332,10.309510558,7.349066186
16.871805261,10.305525697,7.366476694
16.893745189,10.301467128,7.383941669
16.915685118,10.297338311,7.401461884
16.937625047,10.293142717,7.419038126
16.959564976,10.288883725,7.436671187
